uf_nome;ano;media_remuneracao
Rondônia;2022;3497.61
Acre;2022;3603.15
Amazonas;2022;3687.11
Roraima;2022;3514.49
Pará;2022;3609.28
Amapá;2022;4917.28
Tocantins;2022;3609.96
Maranhão;2022;3119.42
Piauí;2022;3105.65
Ceará;2022;3102.26
Rio Grande do Norte;2022;3250.23
Paraíba;2022;2942.85
Pernambuco;2022;3185.72
Alagoas;2022;3053.41
Sergipe;2022;3287.43
Bahia;2022;3151.03
Minas Gerais;2022;3300.80
Espírito Santo;2022;3296.52
Rio de Janeiro;2022;4374.89
São Paulo;2022;4420.53
Paraná;2022;3743.69
Santa Catarina;2022;3770.50
Rio Grande do Sul;2022;3891.95
Mato Grosso do Sul;2022;3740.25
Mato Grosso;2022;3841.03
Goiás;2022;3470.61
Distrito Federal;2022;7074.16
Rondônia;2023;3427.73
Acre;2023;4058.22
Amazonas;2023;3919.99
Roraima;2023;3716.51
Pará;2023;3366.71
Amapá;2023;3616.45
Tocantins;2023;3302.07
Maranhão;2023;3134.74
Piauí;2023;3314.84
Ceará;2023;2966.17
Rio Grande do Norte;2023;3153.85
Paraíba;2023;2977.25
Pernambuco;2023;3232.40
Alagoas;2023;3119.36
Sergipe;2023;3382.29
Bahia;2023;3475.67
Minas Gerais;2023;3400.08
Espírito Santo;2023;3430.31
Rio de Janeiro;2023;4272.75
São Paulo;2023;4512.06
Paraná;2023;3881.65
Santa Catarina;2023;4012.46
Rio Grande do Sul;2023;3891.99
Mato Grosso do Sul;2023;3968.08
Mato Grosso;2023;3643.35
Goiás;2023;3380.65
Distrito Federal;2023;6276.66
